max_reads_used,snps_used,snps_type,call_type,n_correct,n_single,n_single_correct
1000,100,random_400,fast,24,16,16
2000,100,random_400,fast,24,19,19
3000,100,random_400,fast,23,20,20
4000,100,random_400,fast,22,20,20
5000,100,random_400,fast,22,20,20
6000,100,random_400,fast,22,20,20
7000,100,random_400,fast,22,20,20
8000,100,random_400,fast,22,18,18
1000,13,random_400,fast,23,6,5
2000,13,random_400,fast,24,5,5
3000,13,random_400,fast,23,5,5
4000,13,random_400,fast,22,4,4
5000,13,random_400,fast,22,4,4
6000,13,random_400,fast,22,4,4
7000,13,random_400,fast,22,4,4
8000,13,random_400,fast,22,4,4
1000,18,random_400,fast,23,6,5
2000,18,random_400,fast,24,5,5
3000,18,random_400,fast,23,5,5
4000,18,random_400,fast,22,4,4
5000,18,random_400,fast,22,4,4
6000,18,random_400,fast,22,4,4
7000,18,random_400,fast,22,4,4
8000,18,random_400,fast,22,4,4
1000,200,random_400,fast,24,22,22
2000,200,random_400,fast,24,24,24
3000,200,random_400,fast,23,23,23
4000,200,random_400,fast,22,22,22
5000,200,random_400,fast,22,22,22
6000,200,random_400,fast,22,22,22
7000,200,random_400,fast,22,22,22
8000,200,random_400,fast,22,22,22
1000,23,random_400,fast,23,8,7
2000,23,random_400,fast,24,7,7
3000,23,random_400,fast,23,6,6
4000,23,random_400,fast,22,5,5
5000,23,random_400,fast,22,5,5
6000,23,random_400,fast,22,5,5
7000,23,random_400,fast,22,5,5
8000,23,random_400,fast,22,5,5
1000,27,random_400,fast,23,9,8
2000,27,random_400,fast,24,8,8
3000,27,random_400,fast,23,7,7
4000,27,random_400,fast,22,6,6
5000,27,random_400,fast,22,6,6
6000,27,random_400,fast,22,6,6
7000,27,random_400,fast,22,6,6
8000,27,random_400,fast,22,6,6
1000,300,random_400,fast,24,24,24
2000,300,random_400,fast,24,24,24
3000,300,random_400,fast,23,23,23
4000,300,random_400,fast,22,22,22
5000,300,random_400,fast,22,22,22
6000,300,random_400,fast,22,22,22
7000,300,random_400,fast,22,22,22
8000,300,random_400,fast,22,22,22
1000,400,random_400,fast,24,24,24
2000,400,random_400,fast,24,24,24
3000,400,random_400,fast,23,23,23
4000,400,random_400,fast,22,22,22
5000,400,random_400,fast,22,22,22
6000,400,random_400,fast,22,22,22
7000,400,random_400,fast,22,22,22
8000,400,random_400,fast,22,22,22
1000,7,random_400,fast,23,4,3
2000,7,random_400,fast,24,3,3
3000,7,random_400,fast,23,3,3
4000,7,random_400,fast,22,2,2
5000,7,random_400,fast,22,2,2
6000,7,random_400,fast,22,2,2
7000,7,random_400,fast,22,2,2
8000,7,random_400,fast,22,2,2
1000,7,non_random_200,fast,22,6,6
2000,7,non_random_200,fast,21,18,16
3000,7,non_random_200,fast,21,20,18
4000,7,non_random_200,fast,22,20,20
5000,7,non_random_200,fast,21,22,21
6000,7,non_random_200,fast,20,22,20
7000,7,non_random_200,fast,21,22,21
8000,7,non_random_200,fast,21,22,21
1000,300,non_random_200,fast,24,24,24
2000,300,non_random_200,fast,24,24,24
3000,300,non_random_200,fast,23,23,23
4000,300,non_random_200,fast,22,22,22
5000,300,non_random_200,fast,22,22,22
6000,300,non_random_200,fast,22,22,22
7000,300,non_random_200,fast,22,22,22
8000,300,non_random_200,fast,22,22,22
1000,13,non_random_200,fast,23,20,19
2000,13,non_random_200,fast,24,22,22
3000,13,non_random_200,fast,23,23,23
4000,13,non_random_200,fast,22,22,22
5000,13,non_random_200,fast,22,22,22
6000,13,non_random_200,fast,22,22,22
7000,13,non_random_200,fast,22,22,22
8000,13,non_random_200,fast,22,22,22
1000,385,non_random_200,fast,24,24,24
2000,385,non_random_200,fast,24,24,24
3000,385,non_random_200,fast,23,23,23
4000,385,non_random_200,fast,22,22,22
5000,385,non_random_200,fast,22,22,22
6000,385,non_random_200,fast,22,22,22
7000,385,non_random_200,fast,22,22,22
8000,385,non_random_200,fast,22,22,22
1000,18,non_random_200,fast,24,23,23
2000,18,non_random_200,fast,24,24,24
3000,18,non_random_200,fast,23,23,23
4000,18,non_random_200,fast,22,22,22
5000,18,non_random_200,fast,22,22,22
6000,18,non_random_200,fast,22,22,22
7000,18,non_random_200,fast,22,22,22
8000,18,non_random_200,fast,22,22,22
1000,99,non_random_200,fast,24,24,24
2000,99,non_random_200,fast,24,24,24
3000,99,non_random_200,fast,23,23,23
4000,99,non_random_200,fast,22,22,22
5000,99,non_random_200,fast,22,22,22
6000,99,non_random_200,fast,22,22,22
7000,99,non_random_200,fast,22,22,22
8000,99,non_random_200,fast,22,22,22
1000,23,non_random_200,fast,24,24,24
2000,23,non_random_200,fast,24,24,24
3000,23,non_random_200,fast,23,23,23
4000,23,non_random_200,fast,22,22,22
5000,23,non_random_200,fast,22,22,22
6000,23,non_random_200,fast,22,22,22
7000,23,non_random_200,fast,22,22,22
8000,23,non_random_200,fast,22,22,22
1000,27,non_random_200,fast,24,24,24
2000,27,non_random_200,fast,24,24,24
3000,27,non_random_200,fast,23,23,23
4000,27,non_random_200,fast,22,22,22
5000,27,non_random_200,fast,22,22,22
6000,27,non_random_200,fast,22,22,22
7000,27,non_random_200,fast,22,22,22
8000,27,non_random_200,fast,22,22,22
1000,199,non_random_200,fast,24,24,24
2000,199,non_random_200,fast,24,24,24
3000,199,non_random_200,fast,23,23,23
4000,199,non_random_200,fast,22,22,22
5000,199,non_random_200,fast,22,22,22
6000,199,non_random_200,fast,22,22,22
7000,199,non_random_200,fast,22,22,22
8000,199,non_random_200,fast,22,22,22
1000,100,random_400,hac,23,14,13
2000,100,random_400,hac,24,19,19
3000,100,random_400,hac,23,19,19
4000,100,random_400,hac,22,20,20
5000,100,random_400,hac,22,20,20
6000,100,random_400,hac,22,20,20
7000,100,random_400,hac,22,20,20
8000,100,random_400,hac,22,20,20
1000,13,random_400,hac,23,5,4
2000,13,random_400,hac,24,4,4
3000,13,random_400,hac,23,4,4
4000,13,random_400,hac,22,4,4
5000,13,random_400,hac,22,4,4
6000,13,random_400,hac,22,4,4
7000,13,random_400,hac,22,4,4
8000,13,random_400,hac,22,4,4
1000,18,random_400,hac,23,5,4
2000,18,random_400,hac,24,4,4
3000,18,random_400,hac,23,4,4
4000,18,random_400,hac,22,4,4
5000,18,random_400,hac,22,4,4
6000,18,random_400,hac,22,4,4
7000,18,random_400,hac,22,4,4
8000,18,random_400,hac,22,4,4
1000,200,random_400,hac,23,23,22
2000,200,random_400,hac,24,23,23
3000,200,random_400,hac,23,22,22
4000,200,random_400,hac,22,22,22
5000,200,random_400,hac,22,22,22
6000,200,random_400,hac,22,22,22
7000,200,random_400,hac,22,22,22
8000,200,random_400,hac,22,22,22
1000,23,random_400,hac,23,7,6
2000,23,random_400,hac,24,6,6
3000,23,random_400,hac,23,5,5
4000,23,random_400,hac,22,5,5
5000,23,random_400,hac,22,5,5
6000,23,random_400,hac,22,5,5
7000,23,random_400,hac,22,5,5
8000,23,random_400,hac,22,5,5
1000,27,random_400,hac,23,8,7
2000,27,random_400,hac,24,7,7
3000,27,random_400,hac,23,6,6
4000,27,random_400,hac,22,6,6
5000,27,random_400,hac,22,6,6
6000,27,random_400,hac,22,6,6
7000,27,random_400,hac,22,6,6
8000,27,random_400,hac,22,6,6
1000,300,random_400,hac,24,24,24
2000,300,random_400,hac,24,24,24
3000,300,random_400,hac,23,23,23
4000,300,random_400,hac,22,22,22
5000,300,random_400,hac,22,22,22
6000,300,random_400,hac,22,22,22
7000,300,random_400,hac,22,22,22
8000,300,random_400,hac,22,22,22
1000,400,random_400,hac,24,24,24
2000,400,random_400,hac,24,24,24
3000,400,random_400,hac,23,23,23
4000,400,random_400,hac,22,22,22
5000,400,random_400,hac,22,22,22
6000,400,random_400,hac,22,22,22
7000,400,random_400,hac,22,22,22
8000,400,random_400,hac,22,22,22
1000,7,random_400,hac,23,3,2
2000,7,random_400,hac,24,2,2
3000,7,random_400,hac,23,2,2
4000,7,random_400,hac,22,2,2
5000,7,random_400,hac,22,2,2
6000,7,random_400,hac,22,2,2
7000,7,random_400,hac,22,2,2
8000,7,random_400,hac,22,2,2
1000,7,non_random_200,hac,22,11,11
2000,7,non_random_200,hac,24,18,18
3000,7,non_random_200,hac,22,20,19
4000,7,non_random_200,hac,22,20,20
5000,7,non_random_200,hac,21,21,20
6000,7,non_random_200,hac,20,22,20
7000,7,non_random_200,hac,21,21,20
8000,7,non_random_200,hac,21,22,21
1000,300,non_random_200,hac,24,24,24
2000,300,non_random_200,hac,24,24,24
3000,300,non_random_200,hac,23,23,23
4000,300,non_random_200,hac,22,22,22
5000,300,non_random_200,hac,22,22,22
6000,300,non_random_200,hac,22,22,22
7000,300,non_random_200,hac,22,22,22
8000,300,non_random_200,hac,22,22,22
1000,13,non_random_200,hac,24,18,18
2000,13,non_random_200,hac,24,23,23
3000,13,non_random_200,hac,23,22,22
4000,13,non_random_200,hac,22,22,22
5000,13,non_random_200,hac,22,22,22
6000,13,non_random_200,hac,22,22,22
7000,13,non_random_200,hac,22,22,22
8000,13,non_random_200,hac,22,22,22
1000,385,non_random_200,hac,24,24,24
2000,385,non_random_200,hac,24,24,24
3000,385,non_random_200,hac,23,23,23
4000,385,non_random_200,hac,22,22,22
5000,385,non_random_200,hac,22,22,22
6000,385,non_random_200,hac,22,22,22
7000,385,non_random_200,hac,22,22,22
8000,385,non_random_200,hac,22,22,22
1000,18,non_random_200,hac,24,22,22
2000,18,non_random_200,hac,24,24,24
3000,18,non_random_200,hac,23,23,23
4000,18,non_random_200,hac,22,22,22
5000,18,non_random_200,hac,22,22,22
6000,18,non_random_200,hac,22,22,22
7000,18,non_random_200,hac,22,22,22
8000,18,non_random_200,hac,22,22,22
1000,99,non_random_200,hac,24,24,24
2000,99,non_random_200,hac,24,24,24
3000,99,non_random_200,hac,23,23,23
4000,99,non_random_200,hac,22,22,22
5000,99,non_random_200,hac,22,22,22
6000,99,non_random_200,hac,22,22,22
7000,99,non_random_200,hac,22,22,22
8000,99,non_random_200,hac,22,22,22
1000,23,non_random_200,hac,24,23,23
2000,23,non_random_200,hac,24,24,24
3000,23,non_random_200,hac,23,23,23
4000,23,non_random_200,hac,22,22,22
5000,23,non_random_200,hac,22,22,22
6000,23,non_random_200,hac,22,22,22
7000,23,non_random_200,hac,22,22,22
8000,23,non_random_200,hac,22,22,22
1000,27,non_random_200,hac,24,23,23
2000,27,non_random_200,hac,24,24,24
3000,27,non_random_200,hac,23,23,23
4000,27,non_random_200,hac,22,22,22
5000,27,non_random_200,hac,22,22,22
6000,27,non_random_200,hac,22,22,22
7000,27,non_random_200,hac,22,22,22
8000,27,non_random_200,hac,22,22,22
1000,199,non_random_200,hac,24,24,24
2000,199,non_random_200,hac,24,24,24
3000,199,non_random_200,hac,23,23,23
4000,199,non_random_200,hac,22,22,22
5000,199,non_random_200,hac,22,22,22
6000,199,non_random_200,hac,22,22,22
7000,199,non_random_200,hac,22,22,22
8000,199,non_random_200,hac,22,22,22
1000,100,random_400,sup,24,18,18
2000,100,random_400,sup,24,20,20
3000,100,random_400,sup,23,20,20
4000,100,random_400,sup,22,20,20
5000,100,random_400,sup,22,20,20
6000,100,random_400,sup,22,20,20
7000,100,random_400,sup,22,20,20
8000,100,random_400,sup,22,19,19
1000,13,random_400,sup,24,4,4
2000,13,random_400,sup,24,4,4
3000,13,random_400,sup,23,4,4
4000,13,random_400,sup,22,4,4
5000,13,random_400,sup,22,4,4
6000,13,random_400,sup,22,4,4
7000,13,random_400,sup,22,4,4
8000,13,random_400,sup,22,4,4
1000,18,random_400,sup,24,4,4
2000,18,random_400,sup,24,4,4
3000,18,random_400,sup,23,4,4
4000,18,random_400,sup,22,4,4
5000,18,random_400,sup,22,4,4
6000,18,random_400,sup,22,4,4
7000,18,random_400,sup,22,4,4
8000,18,random_400,sup,22,4,4
1000,200,random_400,sup,22,23,21
2000,200,random_400,sup,24,23,23
3000,200,random_400,sup,23,23,23
4000,200,random_400,sup,22,22,22
5000,200,random_400,sup,22,22,22
6000,200,random_400,sup,22,22,22
7000,200,random_400,sup,22,22,22
8000,200,random_400,sup,22,22,22
1000,23,random_400,sup,24,6,6
2000,23,random_400,sup,24,6,6
3000,23,random_400,sup,23,5,5
4000,23,random_400,sup,22,5,5
5000,23,random_400,sup,22,5,5
6000,23,random_400,sup,22,5,5
7000,23,random_400,sup,22,5,5
8000,23,random_400,sup,22,5,5
1000,27,random_400,sup,24,7,7
2000,27,random_400,sup,24,7,7
3000,27,random_400,sup,23,6,6
4000,27,random_400,sup,22,6,6
5000,27,random_400,sup,22,6,6
6000,27,random_400,sup,22,6,6
7000,27,random_400,sup,22,6,6
8000,27,random_400,sup,22,6,6
1000,300,random_400,sup,24,24,24
2000,300,random_400,sup,24,24,24
3000,300,random_400,sup,23,23,23
4000,300,random_400,sup,22,22,22
5000,300,random_400,sup,22,22,22
6000,300,random_400,sup,22,22,22
7000,300,random_400,sup,22,22,22
8000,300,random_400,sup,22,22,22
1000,400,random_400,sup,24,24,24
2000,400,random_400,sup,24,24,24
3000,400,random_400,sup,23,23,23
4000,400,random_400,sup,22,22,22
5000,400,random_400,sup,22,22,22
6000,400,random_400,sup,22,22,22
7000,400,random_400,sup,22,22,22
8000,400,random_400,sup,22,22,22
1000,7,random_400,sup,24,2,2
2000,7,random_400,sup,24,2,2
3000,7,random_400,sup,23,2,2
4000,7,random_400,sup,22,2,2
5000,7,random_400,sup,22,2,2
6000,7,random_400,sup,22,2,2
7000,7,random_400,sup,22,2,2
8000,7,random_400,sup,22,2,2
1000,7,non_random_200,sup,22,10,10
2000,7,non_random_200,sup,24,19,19
3000,7,non_random_200,sup,23,21,21
4000,7,non_random_200,sup,22,21,21
5000,7,non_random_200,sup,22,20,20
6000,7,non_random_200,sup,20,22,20
7000,7,non_random_200,sup,21,21,20
8000,7,non_random_200,sup,21,20,19
1000,300,non_random_200,sup,24,24,24
2000,300,non_random_200,sup,24,24,24
3000,300,non_random_200,sup,23,23,23
4000,300,non_random_200,sup,22,22,22
5000,300,non_random_200,sup,22,22,22
6000,300,non_random_200,sup,22,22,22
7000,300,non_random_200,sup,22,22,22
8000,300,non_random_200,sup,22,22,22
1000,13,non_random_200,sup,24,21,21
2000,13,non_random_200,sup,24,23,23
3000,13,non_random_200,sup,23,22,22
4000,13,non_random_200,sup,22,22,22
5000,13,non_random_200,sup,22,22,22
6000,13,non_random_200,sup,22,22,22
7000,13,non_random_200,sup,22,22,22
8000,13,non_random_200,sup,22,22,22
1000,385,non_random_200,sup,24,24,24
2000,385,non_random_200,sup,24,24,24
3000,385,non_random_200,sup,23,23,23
4000,385,non_random_200,sup,22,22,22
5000,385,non_random_200,sup,22,22,22
6000,385,non_random_200,sup,22,22,22
7000,385,non_random_200,sup,22,22,22
8000,385,non_random_200,sup,22,22,22
1000,18,non_random_200,sup,24,24,24
2000,18,non_random_200,sup,24,24,24
3000,18,non_random_200,sup,23,23,23
4000,18,non_random_200,sup,22,22,22
5000,18,non_random_200,sup,22,22,22
6000,18,non_random_200,sup,22,22,22
7000,18,non_random_200,sup,22,22,22
8000,18,non_random_200,sup,22,22,22
1000,99,non_random_200,sup,24,24,24
2000,99,non_random_200,sup,24,24,24
3000,99,non_random_200,sup,23,23,23
4000,99,non_random_200,sup,22,22,22
5000,99,non_random_200,sup,22,22,22
6000,99,non_random_200,sup,22,22,22
7000,99,non_random_200,sup,22,22,22
8000,99,non_random_200,sup,22,22,22
1000,23,non_random_200,sup,24,24,24
2000,23,non_random_200,sup,24,24,24
3000,23,non_random_200,sup,23,23,23
4000,23,non_random_200,sup,22,22,22
5000,23,non_random_200,sup,22,22,22
6000,23,non_random_200,sup,22,22,22
7000,23,non_random_200,sup,22,22,22
8000,23,non_random_200,sup,22,22,22
1000,27,non_random_200,sup,24,24,24
2000,27,non_random_200,sup,24,24,24
3000,27,non_random_200,sup,23,23,23
4000,27,non_random_200,sup,22,22,22
5000,27,non_random_200,sup,22,22,22
6000,27,non_random_200,sup,22,22,22
7000,27,non_random_200,sup,22,22,22
8000,27,non_random_200,sup,22,22,22
1000,199,non_random_200,sup,24,24,24
2000,199,non_random_200,sup,24,24,24
3000,199,non_random_200,sup,23,23,23
4000,199,non_random_200,sup,22,22,22
5000,199,non_random_200,sup,22,22,22
6000,199,non_random_200,sup,22,22,22
7000,199,non_random_200,sup,22,22,22
8000,199,non_random_200,sup,22,22,22
